code_commune;libelle_commune;institution;id_service;service;code_postal;codes_postaux
"01001";"L'Abergement-Clémenciat";"GN";"1008574";"Gendarmerie - Brigade de Châtillon-sur-Chalaronne";"01400";"01400"
"01002";"L'Abergement-de-Varey";"GN";"1008601";"Gendarmerie - Brigade de Saint-Rambert-en-Bugey";"01640";"01640"
"01004";"Ambérieu-en-Bugey";"GN";"1008600";"Gendarmerie - Brigade d'Ambérieu-en-Bugey";"01500";"01500"
"01005";"Ambérieux-en-Dombes";"GN";"1008634";"Gendarmerie - Brigade de Villars-les-Dombes";"01330";"01330"
"01006";"Ambléon";"GN";"1008593";"Gendarmerie - Brigade de Belley";"01300";"01300"
"01007";"Ambronay";"GN";"1008600";"Gendarmerie - Brigade d'Ambérieu-en-Bugey";"01500";"01500"
"01008";"Ambutrix";"GN";"1008603";"Gendarmerie - Brigade de Lagnieu";"01500";"01500"
"01009";"Andert-et-Condon";"GN";"1008598";"Gendarmerie - Brigade de Virieu-le-Grand";"01300";"01300"
"01010";"Anglefort";"GN";"1008596";"Gendarmerie - Brigade de Culoz";"01350";"01350"
"01011";"Apremont";"GN";"1008613";"Gendarmerie - Brigade de Nantua";"01100";"01100"
"01012";"Aranc";"GN";"1008602";"Gendarmerie - Brigade de Plateau-d'Hauteville";"01110";"01110"
"01013";"Arandas";"GN";"1008601";"Gendarmerie - Brigade de Saint-Rambert-en-Bugey";"01230";"01230"
"01014";"Arbent";"PN";"";"Commissariat de police d'Oyonnax";"01100";"01100"
"01015";"Arboys en Bugey";"GN";"1008593";"Gendarmerie - Brigade de Belley";"01300";"01300"
"01016";"Arbigny";"GN";"1008583";"Gendarmerie - Brigade de Pont-de-Vaux";"01190";"01190"
"01017";"Argis";"GN";"1008601";"Gendarmerie - Brigade de Saint-Rambert-en-Bugey";"01230";"01230"
"01019";"Armix";"GN";"1008598";"Gendarmerie - Brigade de Virieu-le-Grand";"01510";"01510"
"01021";"Ars-sur-Formans";"GN";"1008626";"Gendarmerie - Brigade de Trévoux";"01480";"01480"
"01022";"Artemare";"GN";"1008597";"Gendarmerie - Brigade de Champagne-en-Valromey";"01510";"01510"
"01023";"Asnières-sur-Saône";"GN";"1008581";"Gendarmerie - Brigade de Saint-Laurent-sur-Saône";"01570";"01570"
"01024";"Attignat";"GN";"1008577";"Gendarmerie - Brigade de Montrevel-en-Bresse";"01340";"01340"
"01025";"Bâgé-Dommartin";"GN";"1008581";"Gendarmerie - Brigade de Saint-Laurent-sur-Saône";"01380";"01380"
"01026";"Bâgé-le-Châtel";"GN";"1008581";"Gendarmerie - Brigade de Saint-Laurent-sur-Saône";"01380";"01380"
"01027";"Balan";"GN";"1008629";"Gendarmerie - Brigade de Montluel";"01360";"01360"
"01028";"Baneins";"GN";"1008574";"Gendarmerie - Brigade de Châtillon-sur-Chalaronne";"01990";"01990"
"01029";"Beaupont";"GN";"1008578";"Gendarmerie - Brigade de Coligny";"01270";"01270"
"01030";"Beauregard";"GN";"1008627";"Gendarmerie - Brigade de Jassans-Riottier";"01480";"01480"
"01031";"Bellignat";"PN";"";"Commissariat de police d'Oyonnax";"01100";"01100"
"01032";"Béligneux";"GN";"1008629";"Gendarmerie - Brigade de Montluel";"01360";"01360"
